MrotInHour,Salary,Class
13,3787,0
3,20226,1
7,15440,1
3,7359,1
5,8182,1
6,23028,1
13,11949,1
12,17785,1
13,6854,1
5,12704,1
10,2072,0
4,16967,1
14,2615,0
9,4751,1
13,6325,1
7,18371,1
10,11529,1
11,15802,1
9,2032,0
11,12852,1
5,7291,1
2,16721,1
10,9605,1
7,23477,1
5,12174,1
12,15173,1
3,4794,1
14,13163,1
14,20661,1
8,1802,0
5,12396,1
9,20519,1
7,14828,1
10,12551,1
3,15148,1
12,5370,0
13,344,0
14,11173,1
2,17741,1
5,18625,1
7,494,0
12,3157,0
8,16265,1
12,14536,1
12,8406,1
14,6854,1
12,1986,0
6,7625,1
10,7164,1
11,4451,0
7,19299,1
9,16149,1
9,1767,0
11,14938,1
10,21984,1
3,3062,1
13,15628,1
10,9646,1
8,14336,1
9,23122,1
5,9083,1
2,21698,1
14,3243,0
10,3778,0
9,4836,1
5,21421,1
2,8799,1
5,9171,1
7,22790,1
10,24390,1
12,7318,1
6,10547,1
14,24535,1
7,15327,1
4,8411,1
12,16338,1
13,1205,0
7,5628,1
10,12724,1
11,20339,1
3,3961,1
6,22277,1
13,24632,1
9,6453,1
8,23726,1
2,9804,1
6,7409,1
4,12652,1
2,23992,1
14,10923,1
2,16289,1
5,2710,1
13,11786,1
12,3896,0
10,10171,1
5,24012,1
7,5689,1
6,4689,1
5,4651,1
2,20634,1
13,21377,1
12,11804,1
9,3724,0
7,1221,0
14,13341,1
3,23812,1
5,18432,1
7,4191,1
2,5875,1
10,19205,1
13,6613,1
11,1165,0
8,24162,1
9,4548,1
12,19658,1
2,8219,1
8,13798,1
14,14576,1
13,23146,1
9,7178,1
6,834,0
9,21664,1
13,23840,1
6,23214,1
11,8024,1
12,21963,1
3,7701,1
12,3323,0
12,11957,1
6,16935,1
6,9568,1
6,10837,1
9,14316,1
14,18456,1
11,14685,1
10,5083,1
13,23383,1
2,3763,1
8,4796,1
10,13669,1
10,10419,1
13,23771,1
13,20233,1
12,5626,0
8,12319,1
5,8147,1
2,14588,1
4,18212,1
11,2875,0
14,17333,1
4,8780,1
6,13069,1
10,8465,1
10,8147,1
4,22631,1
7,14661,1
12,4105,0
7,9607,1
11,13786,1
2,6318,1
8,6681,1
8,4365,1
12,24231,1
13,3676,0
10,4263,0
5,22805,1
5,8387,1
4,3003,1
11,20227,1
13,13351,1
12,14871,1
2,24211,1
13,6630,1
3,5273,1
5,4934,1
7,13321,1
7,23419,1
3,11468,1
10,15164,1
11,3656,0
9,17899,1
11,9547,1
2,19136,1
12,20631,1
8,22058,1
11,20420,1
9,3656,0
3,22173,1
13,21031,1
8,10954,1
6,11547,1
13,6774,1
13,20227,1
7,14774,1
3,6311,1
10,6242,1
2,11412,1
11,20262,1
2,21302,1
6,11898,1
4,10672,1
5,19850,1
6,14526,1
12,18305,1
11,10586,1
12,11638,1
7,12918,1
7,20921,1
4,5300,1
6,3542,1
5,15286,1
4,14402,1
8,13818,1
5,8206,1
2,7850,1
7,14825,1
8,2759,0
11,24205,1
7,15319,1
11,23503,1
14,3963,0
4,19480,1
3,3970,1
2,14374,1
9,657,0
2,21706,1
10,19794,1
7,3304,0
14,23576,1
8,8798,1
8,5176,1
7,20606,1
14,17936,1
6,16880,1
12,3911,0
9,17066,1
6,20489,1
13,3180,0
9,1342,0
4,20436,1
9,24956,1
10,21768,1
11,1135,0
7,4045,1
2,4706,1
10,21334,1
13,21029,1
4,6142,1
5,10867,1
8,18112,1
14,1958,0
2,17573,1
4,17413,1
2,18380,1
12,13047,1
8,23080,1
6,1755,0
7,3272,0
14,18291,1
5,12991,1
8,22592,1
6,16655,1
4,8545,1
12,15032,1
4,20877,1
4,5071,1
7,3236,0
11,19337,1
4,21522,1
12,22109,1
2,7907,1
10,24159,1
3,14166,1
8,9352,1
7,12472,1
9,9718,1
13,18126,1
